Acc No,Title,Author,Publication,Language,Subject,Rack,Condition,Status,Acc/Rcvd Date,Register,Register SN,Comments,Corrections
DC1059,Meghasandesham (Tamil),"Kalidasa, Venkataraghavacharyar",LIFCO Publishers,,NA,R14,G,OC,21/07/2018,DC,1059,,
DC106,Kalasalapathamala - 2 (University of Madras),Unknown,,,NA,R14,G,OC,,DC,106,,
DC1060,Meghasandesham (Tamil),"Kalidasa, Venkataraghavacharyar",LIFCO Publishers,,NA,R14,G,OC,21/07/2018,DC,1060,,
DC1061,Bhartruhariyin Nitishatakam (Tamil),"Bhartrhari, B N Parasuraman",Alliance Company,,NA,R14,G,OC,21/07/2018,DC,1061,,
DC1062,Visakadattanin Mudra Rakshasam (Tamil),"Vishakadatta, A V Sukavaneshvaran",General Publishers,,NA,R14,G,OC,21/07/2018,DC,1062,,
DC1063,Mahendra Pallavanin Iru Oranga Natakangal  (Tamil),"Mahendra Pallava, A V Sukavaneshvaran",General Publishers,,NA,R14,G,OC,21/07/2018,DC,1063,,
DC1064,Naganandam (Tamil),"Sri Harsha, A V Sukavaneshvaran",General Publishers,,NA,R14,G,OC,21/07/2018,DC,1064,,
DC1065,Mricchakatikam (Tamil),"Sudraka, A V Sukavaneshvaran",General Publishers,,NA,R14,G,OC,21/07/2018,DC,1065,,
DC1066,Magakavi Kalidasanin Shakuntalam (Tamil),"Kalidasa, P S Ramamurthy",General Publishers,,NA,R14,G,OC,21/07/2018,DC,1066,,
DC1067,Ratnavali (Tamil),"Sri Harsha, A V Sukavaneshvaran",General Publishers,,NA,R14,G,OC,21/07/2018,DC,1067,,
DC1068,"Vadamozhi Ilakkiyam - Magakavi Bhasanin Svapnavasavadatta, Pratima",Mukta V Srinivasan,Alliance Company,,NA,R14,G,OC,21/07/2018,DC,1068,,
DC1069,Patanjali Charitam - Patanjali Yoga Sutrangal,M Jayaraman,Krishnamacharya Yoga Mandiram,,NA,R14,G,OC,23/07/2018,DC,1069,,
DC107,Kumarasambhava of Kalidasa,M.R.Kale,,,NA,R14,G,OC,,DC,107,,
DC1070,Srimad Bhagavatam - Vol I,Swami Tapasyananda,R K Mutt,,NA,R14,G,OC,23/07/2018,DC,1070,,
DC1071,Vivekananda: His Call To The Nation,Swami Vivekananda,R K Mutt,,NA,R14,G,OC,,DC,1071,,
DC1072,Vivekananda: His Call To The Nation,Swami Vivekananda,R K Mutt,,NA,R14,G,OC,,DC,1072,,
DC1073,Vivekananda: His Call To The Nation,Swami Vivekananda,R K Mutt,,NA,R14,G,OC,,DC,1073,,
DC1074,Vivekananda: His Call To The Nation,Swami Vivekananda,R K Mutt,,NA,R14,G,OC,,DC,1074,,
DC1075,Vivekananda: His Call To The Nation,Swami Vivekananda,R K Mutt,,NA,R14,G,OC,,DC,1075,,
